Q;O;A
Сколько месяцев, где больше чем 29 дней?;1;false
Сколько месяцев, где больше чем 29 дней?;11;true
Сколько месяцев, где больше чем 29 дней?;12;false
Какая страна самая большая в мире?;Россия;true
Какая страна самая большая в мире?;Китай;false
Какая страна самая большая в мире?;США;false
Какая страна самая большая в мире?;Индия;false
2+2/2=?;2;false
2+2/2=?;3;true
Один из Java фреймворков называется...;Winter;false
Один из Java фреймворков называется...;Spring;true
Один из Java фреймворков называется...;Summer;false
Один из Java фреймворков называется...;Autumn;false
Сколько букв н в слове одиннадцать?;1;false
Сколько букв н в слове одиннадцать?;2;true
